TRACT,meanHSize,percent_bachelorPlus,totalRace1,totalRace2,meanvalence
4067.01,3.76,24.8,408,1588,5.868113056
4067.02,3.68,20.3,900,2674,5.758366025
4068,3.55,21,591,1964,5.727236622
4069.01,3.99,11.8,179,3095,5.93015439
4069.02,4.21,12.6,261,2475,5.799482481
4070.01,5.07,8.3,259,3963,5.730380666
4070.02,5.03,11.8,52,2533,5.816116505
4071.01,4.39,10.2,136,2922,5.744146779
4071.02,4.56,9,92,3751,5.970575315
4072,4.81,3.7,340,5006,5.731850323
4073.01,4.33,7.9,343,3276,5.727123738
4073.02,5.17,6.8,217,2486,5.675468306
4074,3.72,21.9,126,978,5.882412957
4075.01,4.57,8.3,200,2714,5.756599876
4075.02,4.8,8.7,220,2641,5.799425341
4076.01,4.24,8.7,46,2830,5.740264382
4076.02,4.48,10.3,125,2525,5.811714308
4077.01,4.76,5.5,63,3117,5.629334721
4077.02,4.34,17,310,3951,5.870247947
4078.01,4.73,11.8,441,3167,5.856767865
4078.02,4.83,13.8,246,2534,5.866532109
4079,4.37,19.3,404,3210,5.715360436
4080.03,4.03,29.9,533,2256,5.799455078
4080.04,2.72,33.8,344,734,5.877944134
4080.05,3.17,37.2,692,1472,5.914301514
4080.06,3.58,37.4,131,1222,5.735450932
4081.33,3.68,30.6,261,2332,5.785577317
4081.34,3.32,37.9,161,692,5.751034753
4081.35,3.27,38.9,216,850,5.812688441
4081.36,3.44,20.6,366,1614,5.776295736
4081.37,3.36,26.8,456,1392,5.770019102
4081.38,5.14,5.5,324,4094,5.720323284
4081.39,5.71,4.8,108,3273,5.841484383
4081.4,5.02,6.1,86,2504,5.635404421
4081.41,5.08,7.6,137,3498,5.804182926
4082.02,4.25,14.2,190,1233,5.814935878
4082.11,3.37,24.7,579,1678,5.831861675
4082.12,3.82,31.2,749,1253,5.874029502
4083.01,4.58,7.7,298,3591,5.686653451
4083.02,3.63,20,234,2750,5.715391046
4083.03,3.73,20.2,404,2941,5.813136276
4084.01,3.71,24.5,553,2143,5.858001726
4084.02,3.11,33.6,874,2165,5.811289666
4085.01,4,12.1,225,1708,5.812967877
4085.03,3.32,42.2,1234,1770,5.785763766
4085.04,3.33,35.6,447,2236,5.846158428
4085.05,3.56,34.4,615,1030,5.78079962
4086.23,3.26,32.4,466,787,5.807567396
4086.24,3.24,36.8,392,820,5.663052459
4086.25,3.4,42.9,510,1258,5.906649025
4086.26,3.15,53.8,248,891,5.912166287
4086.27,3.24,41.5,420,547,5.864692069
4086.28,3.05,53.2,373,683,5.866896417
4086.29,3.01,50.7,532,435,5.908042007
4086.3,4.99,17.4,92,1429,5.784923986
4086.31,3.96,25.5,311,2425,5.84810458
4087.03,3.46,55.2,669,359,5.787213076
4087.04,3.13,22.8,220,774,5.716480146
4087.05,3.43,38,592,1032,5.809839807
4087.06,3.86,62.7,296,183,5.407770876
4087.22,3.64,32,550,1493,5.55880622
4087.23,3.57,24.5,383,619,5.840321415
4087.24,3.65,13.3,286,2753,6.014987198
4088,2.96,25.4,594,1824,5.777110772
4301.01,2.76,18.1,1436,1772,5.824535658
4301.02,4.21,13.8,474,2995,5.837252272
4302,2.34,54.4,595,132,6.027106403
4303.01,2.79,56.7,2652,593,5.87823805
4303.02,2.61,46.6,3071,1205,5.889505453
4304,3.11,59.5,1314,404,5.886776119
4305.01,2.67,70.8,2391,363,5.866159588
4305.02,2.32,59.7,4060,767,5.863982679
4306,3.05,54.9,1330,544,5.708145375
4307.01,2.6,56.1,1377,494,6.021326351
